B (mm),H (mm),t (mm),L (mm),fy (MPa),"converted fc,cyl",N Test (kN)
319,319,6.36,957,618,41.1,7780
319,319,6.36,957,618,41.1,7780
250,250,8,500,379,91,8300
150,150,12,450,756,157.2,8452
150,150,12,450,756,157.2,8452
150,150,12,450,756,152.3,8585
150,150,12,450,756,152.3,8585
150,150,12,450,756,147,8687
150,150,12,450,756,147,8687
150,150,12,450,756,164.1,8730
150,150,12,450,756,164.1,8730
400,400,6,1400,369,40,8802
150,150,12,450,756,148,8912
150,150,12,450,756,148,8912
265,265,6.47,795,835,80.3,8990
265,265,6.47,795,835,80.3,8990
319,319,6.36,957,618,85.1,10357
319,319,6.36,957,618,85.1,10357
305,305,8.6,1220,259,110,11390
305,305,5.8,1220,471,110,11568
305,305,6.1,1220,660,110,12307
305,305,8.9,1220,560,110,14116
