B (mm),H (mm),t (mm),L (mm),fy (MPa),"converted fc,cyl",N Test (kN)
74.04,74.04,4.91,285,762,100,1636
72.87,72.87,4.88,285,762,100,1755
99.56,99.56,4.91,360,762,100,2520
99.2,99.2,4.93,360,762,100,2632
124.94,124.94,4.94,435,762,100,2962
124.43,124.43,4.93,435,762,100,3023
149.87,149.87,4.92,510,762,100,3968
149.99,149.99,4.92,510,762,100,4115
120,120,8,500,323,103,2270
120,120,8,500,323,103,2270
120,120,8,500,379,103,2680
120,120,8,500,379,103,2680
88,88,1.76,264,115,108.6,722
101.5,101.5,2.32,300,145,108.6,1009
152.5,152.5,3.31,455,148,108.6,2124
76,76,3.09,228,199,108.6,514
305,305,8.6,1220,259,110,11390
305,305,5.8,1220,471,110,11568
305,305,8.9,1220,560,110,14116
305,305,6.1,1220,660,110,12307
200,200,6,695,485,112.1,6060
200,200,6,695,485,112.1,6218
200,200,6,695,485,112.1,6298
199.01,199.01,4.92,660,762,113,5184
198.71,198.71,4.92,660,762,113,5604
198.92,198.92,4.91,1514,762,113,7478
100.3,100.3,3.83,300,306.7,113.2,1544
100.4,100.4,2.03,300,348.7,113.2,1406
100.7,100.7,7.59,300,371.6,113.2,1976
200,200,3.09,600,310,119,3899
200,200,6.39,600,310,119,4965
200,200,3.17,600,781,119,4910
200,200,6.16,600,781,119,6645
100,100,1.9,900,404,121.6,1010
100,100,1.9,900,404,121.6,1013
100,100,1.9,300,404,121.6,1190
100,100,1.9,300,404,121.6,1209
100,100,1.9,300,404,121.6,1220
100,100,1.9,300,404,121.6,1220
100.4,100.4,3.79,300,306.7,130.8,1676
100.4,100.4,2.05,300,348.7,130.8,1575
100.7,100.7,7.63,300,371.6,130.8,2051
150,150,12.5,450,446,147,6039
150,150,12.5,450,446,147,6039
150,150,12,450,756,147,8687
150,150,12,450,756,147,8687
150,150,8,450,779,147,6616
150,150,8,450,779,147,6616
150,150,12.5,450,446,148,6285
150,150,12.5,450,446,148,6285
150,150,12,450,756,148,8912
150,150,12,450,756,148,8912
150,150,8,450,779,148,6974
150,150,8,450,779,148,6974
150,150,12.5,450,446,152.3,5953
150,150,12.5,450,446,152.3,5953
150,150,12,450,756,152.3,8585
150,150,12,450,756,152.3,8585
150,150,8,450,779,152.3,6536
150,150,8,450,779,152.3,6536
150,150,12.5,450,446,157.2,5911
150,150,12.5,450,446,157.2,5911
150,150,12,450,756,157.2,8452
150,150,12,450,756,157.2,8452
150,150,8,450,779,157.2,6715
150,150,8,450,779,157.2,6715
150,150,12.5,450,446,164.1,6409
150,150,12.5,450,446,164.1,6409
150,150,12,450,756,164.1,8730
150,150,12,450,756,164.1,8730
150,150,8,450,779,164.1,7276
150,150,8,450,779,164.1,7276
