B (mm),H (mm),t (mm),L (mm),fy (MPa),"converted fc,cyl",N Test (kN)
126,126,3,360,300,50,1114
126,126,3,360,300,50,1114
156,156,3,300,300,50,1300
156,156,3,450,300,50,1708
249,250.4,2.5,750,234.3,50.1,3409
65,75,3,250,350,52,434
75,65,3,250,370,52,568
300.7,300.7,6.1,902,395,52.2,6494
150,150,3,675,324.4,52.6,1516
150,150,3,900,324.4,52.6,1599
190,190,2.5,570,342,53.6,2430
190,190,2.5,570,342,53.6,2480
250,250,2.5,750,342,53.6,4040
250,250,2.5,750,342,53.6,4080
100,100,2.18,300,300,53.7,697
100.1,100.1,2.18,300,300,53.7,851
110,110,5,330,701,54.5,2203
110,110,5,330,701,54.5,2234
140,140,5,420,701,54.5,2840
140,140,5,420,701,54.5,2942
170,170,5,510,701,54.5,3118
170,170,5,510,701,54.5,3243
180,180,5,570,701,54.5,3856
180,180,5,570,701,54.5,3882
128.2,129.1,2.5,390,234.3,54.8,1150
101,120,7.69,358,423.2,55.3,2730
120,180,7.69,545,423.2,55.3,3150
102,203,8.28,60,488.38,55.3,3230
122,182,8.28,541,488.38,55.3,3380
150,152,8.28,451,488.38,55.3,3575
100,120,5.7,360,514.53,55.3,2100
122,181,5.7,540,514.53,55.3,2710
100,180,5.8,540,300,56,1725
100,180,5.8,540,300,56,1742
100,180,5.8,450,300,56,1763
100,180,5.8,450,300,56,1815
100,180,5.8,480,300,56,1912
100,180,5.8,480,300,56,1947
100,180,5.8,570,300,56,2035
100,180,5.8,570,300,56,2138
120,120,4,360,495,56,1718
120,120,4,360,495,56,1739
130,130,4,390,495,56,1963
130,130,4,390,495,56,1988
80.6,119.3,4.18,360,550,56.6,1425
80.1,120.7,4.18,360,550,56.6,1450
98.2,100.3,4.18,300,550,56.6,1490
100.6,101.5,4.18,300,550,56.6,1535
81.4,160.2,4.18,480,550,56.6,1710
80.5,160.7,4.18,480,550,56.6,1820
101.2,199.8,4.18,600,550,56.6,2350
98.9,200.2,4.18,600,550,56.6,2380
121.5,179.7,4.18,540,550,56.6,2530
181.2,182.8,4.18,540,550,56.6,3590
200.1,200.1,4.35,601,323,57.9,2563
200.1,200.1,4.35,601,323,57.9,3201
200,200,2.5,1190,270,58.3,2260
120,120,4,360,495,58.4,1657
120,120,4,360,495,58.4,1701
100,150,4,450,495,58.4,1735
90,180,4,540,495,58.4,1773
100,150,4,450,495,58.4,1778
90,180,4,540,495,58.4,1795
110,160,4,480,495,58.4,1923
110,160,4,480,495,58.4,1982
130,130,4,390,495,58.4,2018
130,130,4,390,495,58.4,2020
100,190,4,570,495,58.4,2049
100,190,4,570,495,58.4,2124
105.1,159.1,2.93,480,255.1,58.6,1610
104.5,162.6,3.04,480,255.1,58.6,1640
102.2,163.8,2.93,480,255.1,58.6,1680
125.1,160.4,2.85,480,255.1,58.6,1855
141.5,141.5,3.08,420,255.1,58.6,1920
141.6,141.6,3.04,420,255.1,58.6,1960
125.6,160,2.88,480,255.1,58.6,2030
125,161.1,2.81,480,255.1,58.6,2040
142.4,142.4,3.05,420,255.1,58.6,2060
99.6,162.8,2.13,480,305.1,58.6,1460
98.5,162.3,2,480,305.1,58.6,1545
102.1,160.2,2,570,305.1,58.6,1555
119,161.9,2,480,305.1,58.6,1740
140.5,140.5,2,420,305.1,58.6,1780
122.5,157.1,2.01,480,305.1,58.6,1800
119.7,164.6,2.01,480,305.1,58.6,1800
142.3,142.3,2.01,420,305.1,58.6,1855
143.2,143.2,2.03,420,305.1,58.6,1990
102.1,102.1,4.97,300,347.3,58.6,1330
101.9,101.9,5.03,300,347.3,58.6,1440
103.5,103.5,5.01,300,347.3,58.6,1500
149.1,149.1,5.06,420,347.3,58.6,1700
102.7,132.3,4.98,390,347.3,58.6,1725
120.4,130,5.03,390,347.3,58.6,1820
102.7,125.7,5.15,390,347.3,58.6,1840
102.6,158.9,4.74,480,347.3,58.6,2060
103.4,156.9,4.71,480,347.3,58.6,2090
106.9,162,4.81,480,347.3,58.6,2320
142.3,142.3,5.09,420,347.3,58.6,2520
137.1,167.9,5.1,480,347.3,58.6,2600
142.4,142.4,5.1,420,347.3,58.6,2610
133.2,172.7,5.08,480,347.3,58.6,2700
300.6,300.6,6.1,902,395,58.9,5481
100.4,100.4,3.79,300,306.7,59,1138
100.4,100.4,2.07,300,348.7,59,987
100.7,100.7,7.6,300,371.6,59,1647
101.1,101.1,2.18,300,300,61,783
100.1,100.1,2.18,300,300,61,911
200.2,200.2,4.35,601,323,63.7,2825
200.3,200.3,4.35,601,323,63.7,3417
60,60,1.87,180,282,64.8,350
60,60,1.87,180,282,64.8,382
100,100,1.87,300,282,64.8,840
100,100,1.87,300,282,64.8,860
150,150,1.87,450,282,64.8,1662
150,150,1.87,450,282,64.8,1740
200,200,1.87,600,282,64.8,2890
200,200,1.87,600,282,64.8,2920
60,60,2,180,404,64.8,406
60,60,2,180,404,64.8,422
150,150,2,450,404,64.8,1980
150,150,2,450,404,64.8,2060
80.6,119.6,4.18,360,550,65.7,1560
80.6,120.5,4.18,360,550,65.7,1700
101.1,101.2,4.18,300,550,65.7,1740
100.4,100.7,4.18,300,550,65.7,1775
81,160.1,4.18,480,550,65.7,1880
80.1,160.6,4.18,480,550,65.7,2100
121.3,179.2,4.18,540,550,65.7,2590
99.6,199.8,4.18,600,550,65.7,2800
102.1,199.2,4.18,600,550,65.7,2900
119.8,180.4,4.18,540,550,65.7,2970
180.4,181.8,4.18,540,550,65.7,4210
134.9,175.7,2.91,993,319.3,68.5,2401
124.6,199.3,2.92,921,319.3,68.5,2636
88,88,1.76,264,115,74.4,467
101.6,101.6,2.32,300,145,74.4,651
152.3,152.3,3.31,456,148,74.4,1566
75.8,75.8,3.09,227,199,74.4,374
75.9,75.9,3.09,228,199,74.4,382
100,130,5.8,390,300,74.7,1566
100,130,5.8,390,300,74.7,1601
120,120,5.8,360,300,74.7,1697
100,180,5.8,540,300,74.7,2019
100,180,5.8,540,300,74.7,2059
170,220,5.8,660,300,74.7,3684
170,220,5.8,660,300,74.7,3717
200,200,5.8,600,300,74.7,3862
200,200,5.8,600,300,74.7,3996
99.8,99.8,4.9,300,300,74.88,900
101,101,9.6,300,400,74.88,2000
148,148,4.38,444,262,77,2108
148,148,4.38,444,262,77,2108
144,144,6.36,432,618,77,3399
144,144,6.36,432,618,77,3399
211,211,6.36,633,618,77,5758
211,211,6.36,633,618,77,5758
120,120,6.47,360,835,77,3318
119,119,6.47,357,835,77,3318
175,175,6.47,525,835,77,5366
175,175,6.47,525,835,77,5366
108,108,4,320,495,77.6,1749
90,130,4,390,495,77.6,1752
90,130,4,390,495,77.6,1806
108,108,4,320,495,77.6,1824
80,160,4,480,495,77.6,1858
80,160,4,480,495,77.6,1878
125,160,4,480,495,77.6,2580
125,160,4,480,495,77.6,2674
140,140,4,420,495,77.6,2752
140,140,4,420,495,77.6,2828
100,100,4.1,300,333,77.76,970
100,100,4.1,299,333,77.76,1130
65,65,3,250,350,79,502
75,75,3,250,370,79,684
99.7,99.7,4.73,302,289,79.12,1050
99.9,99.9,4.1,301,333,79.12,1130
120,120,8,500,364,80,2300
120,120,8,500,379,80,2290
120,120,8,500,379,80,2290
120,120,8,500,390,80,2300
215,215,4.38,645,262,80.3,3837
215,215,4.38,645,262,80.3,3837
323,323,4.38,969,262,80.3,7481
324,324,4.38,972,262,80.3,7481
265,265,6.47,795,835,80.3,8990
265,265,6.47,795,835,80.3,8990
200,200,6,695,485,80.5,4921
200,200,6,695,485,80.5,4973
319,319,6.36,957,618,85.1,10357
319,319,6.36,957,618,85.1,10357
100,150,4,300,270.84,90.58,1188.5
250,250,8,500,379,91,8300
211,211,4.5,633,277,91.1,4371
211,211,4.5,633,277,91.1,4372
211,211,5.48,633,294,91.1,4773
211,211,5.48,633,294,91.1,4775
211,211,8.83,633,536,91.1,7008
211,211,8.83,633,536,91.1,7010
204,204,5.95,612,540,91.1,5303
204,204,5.95,612,540,91.1,5305
180,180,6.6,540,824,91.1,5873
180,180,6.6,540,824,91.1,5875
180,180,9.45,540,825,91.1,7402
180,180,9.45,540,825,91.1,7405
100,130,5.8,390,300,92,1779
100,130,5.8,390,300,92,1854
120,120,5.8,360,300,92,1919
100,180,5.8,540,300,92,2287
100,180,5.8,540,300,92,2291
120,120,8,500,379,92,2430
120,120,8,500,404,92,1380
180,180,6.3,1000,397,92.4,4060
260,260,7.1,1000,426,92.4,7488
125,125,3.2,500,443,94,1598
125,125,3,300,296.06,94.31,1441.2
125,125,4,300,342.59,94.33,1882.5
120,120,5,500,327,96,2040
120,120,5,500,327,96,2040
120,120,5,500,439,96,2240
120,120,5,500,439,96,2240
